Date,URL
2022-12-14,https://www.iab.org/wiki/index.php/2022-12-14_Agenda
2022-12-07,https://www.iab.org/wiki/index.php/2022-12-07_Agenda
2022-11-23,https://www.iab.org/wiki/index.php/2022-11-23_Agenda
2022-11-10,https://www.iab.org/wiki/index.php/2022-11-10_Agenda
2022-11-08,https://www.iab.org/wiki/index.php/2022-11-08_Agenda
2022-11-06,https://www.iab.org/wiki/index.php/2022-11-06_Agenda
2022-10-26,https://www.iab.org/wiki/index.php/2022-10-26_Agenda
2022-10-12,https://www.iab.org/wiki/index.php/2022-10-12_Agenda
2022-10-05,https://www.iab.org/wiki/index.php/2022-10-05_Agenda
2022-09-28,https://www.iab.org/wiki/index.php/2022-09-28_Agenda
2022-09-21,https://www.iab.org/wiki/index.php/2022-09-21_Agenda
2022-09-07,https://www.iab.org/wiki/index.php/2022-09-07_Agenda
2022-08-24,https://www.iab.org/wiki/index.php/2022-08-24_Agenda
2022-08-10,https://www.iab.org/wiki/index.php/2022-08-10_Agenda
2022-07-26,https://www.iab.org/wiki/index.php/2022-07-26_Agenda
2022-07-24,https://www.iab.org/wiki/index.php/2022-07-24_Agenda
2022-07-06,https://www.iab.org/wiki/index.php/2022-07-06_Agenda
2022-06-29,https://www.iab.org/wiki/index.php/2022-06-29_Agenda
2022-06-22,https://www.iab.org/wiki/index.php/2022-06-22_Agenda
2022-06-15,https://www.iab.org/wiki/index.php/2022-06-15_Agenda
2022-06-01,https://www.iab.org/wiki/index.php/2022-06-01_Agenda
2022-05-11,https://www.iab.org/wiki/index.php/2022-05-11_Agenda
2022-05-04,https://www.iab.org/wiki/index.php/2022-05-04_Agenda
2022-04-27,https://www.iab.org/wiki/index.php/2022-04-27_Agenda
2022-04-20,https://www.iab.org/wiki/index.php/2022-04-20_Agenda
2022-04-13,https://www.iab.org/wiki/index.php/2022-04-13_Agenda
2022-04-06,https://www.iab.org/wiki/index.php/2022-04-06_Agenda
2022-03-20,https://www.iab.org/wiki/index.php/2022-03-20_Agenda
